command,kind,type,default,prefix,module,platform_text,runtime_editable,startup_only,in_default_engine,in_scalability,scalability_group,scalability_sections,usage,help,flags
D3D12.DumpRayTracingGeometries,Command,string,,D3D12,光线追踪,DirectX,true,false,false,false,false,,`D3D12.DumpRayTracingGeometries`（可带参数，具体见帮助说明）,Dump memory allocations for ray tracing resources.,
D3D12.DumpRayTracingGeometriesToCSV,Command,string,,D3D12,光线追踪,DirectX,true,false,false,false,false,,`D3D12.DumpRayTracingGeometriesToCSV`（可带参数，具体见帮助说明）,Dump all memory allocations for ray tracing resources to a CSV file on disc.,
D3D12.DumpTrackedAllocationCallstacks,Command,string,,D3D12,RHI/底层渲染接口,DirectX,true,false,false,false,false,,`D3D12.DumpTrackedAllocationCallstacks`（可带参数，具体见帮助说明）,Dump all tracked d3d12 resource allocation callstacks.,
D3D12.DumpTrackedAllocations,Command,string,,D3D12,RHI/底层渲染接口,DirectX,true,false,false,false,false,,`D3D12.DumpTrackedAllocations`（可带参数，具体见帮助说明）,Dump all tracked d3d12 resource allocations.,
D3D12.DumpTrackedResidentAllocationCallstacks,Command,string,,D3D12,RHI/底层渲染接口,DirectX,true,false,false,false,false,,`D3D12.DumpTrackedResidentAllocationCallstacks`（可带参数，具体见帮助说明）,Dump all tracked resident d3d12 resource allocation callstacks.,
D3D12.DumpTrackedResidentAllocations,Command,string,,D3D12,RHI/底层渲染接口,DirectX,true,false,false,false,false,,`D3D12.DumpTrackedResidentAllocations`（可带参数，具体见帮助说明）,Dump all tracked resisdent d3d12 resource allocations.,
D3D12.RayTracing.SerializeScene,Command,string,,D3D12,光线追踪,DirectX,true,false,false,false,false,,`D3D12.RayTracing.SerializeScene`（可带参数，具体见帮助说明）,Serialize Ray Tracing Scene to disk.,
DumpDetailedPrimitives,Command,string,,DumpDetailedPrimitives,材质,All,true,false,false,false,false,,`DumpDetailedPrimitives`（可带参数，具体见帮助说明）,Writes the detailed information of all primitives tracked by the PrimitiveDebugger to a CSV file,ECVF_Default
DumpPrimitiveDrawCalls,Command,string,,DumpPrimitiveDrawCalls,渲染调试/可视化,All,true,false,false,false,false,,`DumpPrimitiveDrawCalls`（可带参数，具体见帮助说明）,Writes the draw call count of all primitives tracked by the PrimitiveDebugger to a CSV file,ECVF_Default
FindRedundantMICS,Command,string,,FindRedundantMICS,通用,All,true,false,false,false,false,,`FindRedundantMICS`（可带参数，具体见帮助说明）,Looks at all loaded MICs and looks for redundant ones.,
foliage.Freeze,Command,string,,foliage,景观/植被,All,true,false,false,false,false,,`foliage.Freeze`（可带参数，具体见帮助说明）,Useful for debugging. Freezes the foliage culling and LOD.,
foliage.LogFoliageFrame,Command,string,,foliage,景观/植被,All,true,false,false,false,false,,`foliage.LogFoliageFrame`（可带参数，具体见帮助说明）,Useful for debugging. Logs all foliage rendered in a frame.,
foliage.RebuildFoliageTrees,Command,string,,foliage,景观/植被,All,true,false,false,false,false,,`foliage.RebuildFoliageTrees`（可带参数，具体见帮助说明）,Rebuild the trees for non-grass foliage.,
foliage.Test,Command,string,,foliage,景观/植被,All,true,false,false,false,false,,`foliage.Test`（可带参数，具体见帮助说明）,Useful for debugging.,
foliage.ToggleVectorCull,Command,string,,foliage,景观/植被,All,true,false,false,false,false,,`foliage.ToggleVectorCull`（可带参数，具体见帮助说明）,Useful for debugging. Toggles the optimized cull.,
