command,kind,type,default,prefix,module,platform_text,runtime_editable,startup_only,in_default_engine,in_scalability,scalability_group,scalability_sections,usage,help,flags
fx.AllowFastPathFunctionLibrary,CVar,string,,fx,通用,All,true,false,false,false,false,,`fx.AllowFastPathFunctionLibrary=<值>` / `fx.AllowFastPathFunctionLibrary <值>` 或 INI 中配置,If > 0 Allow the graph to insert custom fastpath operations into the graph.\n,ECVF_Default
fx.Budget.AdjustedUsageDecayRate,CVar,string,,fx,通用,All,true,false,false,false,false,,`fx.Budget.AdjustedUsageDecayRate=<值>` / `fx.Budget.AdjustedUsageDecayRate <值>` 或 INI 中配置,Rate at which the FX budget adjusted usage value is allowed to decay. This helps prevent FX flipping off/on if the usage oscilates over the cull threshold as the FX are culled/enabled.,ECVF_Default
fx.Budget.AdjustedUsageMax,CVar,string,,fx,通用,All,true,false,false,false,false,,`fx.Budget.AdjustedUsageMax=<值>` / `fx.Budget.AdjustedUsageMax <值>` 或 INI 中配置,Max value for FX Budget adjusted usage. Prevents one very long frame from keeping the usage above 1.0 for long periods under budget.,ECVF_Default
fx.Budget.Debug.GameThreadConcurrentTimeOverride,CVar,string,,fx,渲染调试/可视化,All,true,false,false,false,false,,`fx.Budget.Debug.GameThreadConcurrentTimeOverride=<值>` / `fx.Budget.Debug.GameThreadConcurrentTimeOverride <值>` 或 INI 中配置,When >= 0.0 overrides the reported time for FX on the GameThreadConcurrent. Useful for observing/debugging the impact on other systems.,ECVF_Default
fx.Budget.Debug.GameThreadTimeOverride,CVar,string,,fx,渲染调试/可视化,All,true,false,false,false,false,,`fx.Budget.Debug.GameThreadTimeOverride=<值>` / `fx.Budget.Debug.GameThreadTimeOverride <值>` 或 INI 中配置,When >= 0.0 overrides the reported time for FX on the GameThread. Useful for observing/debugging the impact on other systems.,ECVF_Default
fx.Budget.Debug.RenderThreadTimeOverride,CVar,string,,fx,光线追踪,All,true,false,false,false,false,,`fx.Budget.Debug.RenderThreadTimeOverride=<值>` / `fx.Budget.Debug.RenderThreadTimeOverride <值>` 或 INI 中配置,When >= 0.0 overrides the reported time for FX on the RenderThread. Useful for observing/debugging the impact on other systems.,ECVF_Default
fx.Budget.Enabled,CVar,string,,fx,通用,All,true,false,false,false,false,,`fx.Budget.Enabled=<值>` / `fx.Budget.Enabled <值>` 或 INI 中配置,Controls whether we track global FX budgets.,ECVF_Default
fx.Budget.EnabledInEditor,CVar,string,,fx,通用,All,true,false,false,false,false,,`fx.Budget.EnabledInEditor=<值>` / `fx.Budget.EnabledInEditor <值>` 或 INI 中配置,Controls whether we track global FX budgets in editor builds.,ECVF_Default
fx.Budget.GameThread,CVar,string,,fx,通用,All,true,false,false,false,false,,`fx.Budget.GameThread=<值>` / `fx.Budget.GameThread <值>` 或 INI 中配置,"Budget (in ms) for all combined FX work that runs only on the gamethread. As this budget is approached or exceeded, various FX systems will attempt to scale down more and mroe agressively to remain in budget.",ECVF_Default
fx.Budget.GameThreadConcurrent,CVar,string,,fx,通用,All,true,false,false,false,false,,`fx.Budget.GameThreadConcurrent=<值>` / `fx.Budget.GameThreadConcurrent <值>` 或 INI 中配置,"Budget (in ms) for all combined FX work that runs on the gamethread or on a concurrent task spawned from the game thread. As this budget is approached or exceeded, various FX systems will attempt to scale down more and mroe agressively to remain in budget.",ECVF_Default
fx.Budget.HistoryFrames,CVar,string,,fx,渲染管线,All,false,true,false,false,false,,`fx.Budget.HistoryFrames=<值>` / `fx.Budget.HistoryFrames <值>` 或 INI 中配置,Number of frames the global FX budget tracking will hold to work out it's average frame time.,ECVF_Default | ECVF_ReadOnly
fx.Budget.RenderThread,CVar,string,,fx,光线追踪,All,true,false,false,false,false,,`fx.Budget.RenderThread=<值>` / `fx.Budget.RenderThread <值>` 或 INI 中配置,"Budget (in ms) for all combined FX work that runs on the Render Thread.  As this budget is approached or exceeded, various FX systems will attempt to scale down more and mroe agressively to remain in budget.",ECVF_Default
fx.Cascade.BeamRenderingEnabled,CVar,string,,fx,通用,All,true,false,false,false,false,,`fx.Cascade.BeamRenderingEnabled=<值>` / `fx.Cascade.BeamRenderingEnabled <值>` 或 INI 中配置,Controls if beam rendering is enabled for Cascade,ECVF_Default
fx.Cascade.GpuSpriteDynamicAllocations,CVar,string,,fx,通用,All,true,false,false,false,false,,`fx.Cascade.GpuSpriteDynamicAllocations=<值>` / `fx.Cascade.GpuSpriteDynamicAllocations <值>` 或 INI 中配置,Controls if gpu sprite are allocated dynamically,ECVF_Default
fx.Cascade.GpuSpriteRenderingEnabled,CVar,string,,fx,通用,All,true,false,false,false,false,,`fx.Cascade.GpuSpriteRenderingEnabled=<值>` / `fx.Cascade.GpuSpriteRenderingEnabled <值>` 或 INI 中配置,Controls if gpu sprite rendering is enabled for Cascade,ECVF_Default
