"application_bucket","apply_recommendation","module","command","value","fps_delta_percent","quality_risk","visual_review_required","target_file","target_section","in_scalability","config_target","adoption_status","quality_impact","notes"
"low_medium_risk_candidate","candidate_after_visual_review","Anti Aliasing / TSR","r.TSR.History.R11G11B10","1","6.04","Low/Medium: possible subtle TSR precision/banding/stability differences","true","DefaultScalability.ini","AntiAliasingQuality@0;AntiAliasingQuality@1;AntiAliasingQuality@2;AntiAliasingQuality@3;AntiAliasingQuality@Cine","true","DefaultScalability.ini AntiAliasingQuality","candidate_bandwidth_gain_review_required","Low/Medium: possible subtle TSR precision/banding/stability differences","Promising bandwidth optimization. Needs motion/edge stability review."
"low_medium_risk_candidate","candidate_after_visual_review","Anti Aliasing / TSR","r.TSR.Resurrection","0","8.15","Low/Medium: disables TSR resurrection of old discarded details. Can improve predictability and cost but may reduce static fine detail recovery.","true","DefaultScalability.ini","AntiAliasingQuality@0;AntiAliasingQuality@1;AntiAliasingQuality@2;AntiAliasingQuality@3;AntiAliasingQuality@Cine","true","DefaultScalability.ini AntiAliasingQuality lower tiers","tsr_quality_tradeoff_candidate_visual_review_required","Low/Medium: disables TSR resurrection of old discarded details. Can improve predictability and cost but may reduce static fine detail recovery.","Result generated by scripts/run_render_ab_tests.ps1. Visual review required before project config adoption."
"low_medium_risk_candidate","candidate_after_visual_review","Landscape / Foliage","foliage.MaxOcclusionQueriesPerComponent","8","1.91","Low/Medium: reduces foliage occlusion query granularity. Can reduce query overhead but may reduce culling precision.","true","DefaultEngine.ini","[ConsoleVariables]","false","Runtime console or DeviceProfile if adopted","foliage_occlusion_query_tradeoff_visual_review_required","Low/Medium: reduces foliage occlusion query granularity. Can reduce query overhead but may reduce culling precision.","Result generated by scripts/run_render_ab_tests.ps1. Visual review required before project config adoption."
"low_medium_risk_candidate","candidate_after_visual_review","Post Processing","r.LensFlareQuality","0","7.11","Low/Medium: removes lens flare styling","true","DefaultScalability.ini","PostProcessQuality@0;PostProcessQuality@1;PostProcessQuality@2;PostProcessQuality@3;PostProcessQuality@Cine","true","DefaultScalability.ini","candidate_visual_review_required","Low/Medium: removes lens flare styling","Strong paired FPS gain. Usually acceptable if project does not rely on lens-flare look."
"low_medium_risk_candidate","candidate_after_visual_review","Ray Tracing / Geometry","r.RayTracing.Geometry.InstancedStaticMeshes.Culling","1","1.46","Low/Medium: ensures culling for instanced static meshes in ray tracing. If already enabled, should be neutral; if disabled, can improve RT traversal/build cost.","true","DefaultEngine.ini","[ConsoleVariables]","false","DefaultEngine.ini [/Script/Engine.RendererSettings]","rt_geometry_culling_candidate_visual_review_required","Low/Medium: ensures culling for instanced static meshes in ray tracing. If already enabled, should be neutral; if disabled, can improve RT traversal/build cost.","Result generated by scripts/run_render_ab_tests.ps1. Visual review required before project config adoption."
"low_medium_risk_candidate","candidate_after_visual_review","Shadows / Virtual Shadow Map","r.Shadow.Virtual.Cache.AllocateViaLRU","1","4.63","Low/Medium: changes VSM physical page allocation policy to prefer recently used cached pages. May improve cache behavior but can cause local instability if workload differs.","true","DefaultEngine.ini","[ConsoleVariables]","false","Runtime console or DeviceProfile if adopted","vsm_cache_lru_candidate_visual_review_required","Low/Medium: changes VSM physical page allocation policy to prefer recently used cached pages. May improve cache behavior but can cause local instability if workload differs.","Result generated by scripts/run_render_ab_tests.ps1. Visual review required before project config adoption."
"low_medium_risk_candidate","candidate_after_visual_review","Shadows / Virtual Shadow Map","r.Shadow.Virtual.Cache.MaxLightAgeSinceLastRequest","5","2.49","Low/Medium: reduces how long unused local-light VSM pages stay cached. May reduce cache memory/maintenance but can increase misses if lights reappear.","true","DefaultEngine.ini","[ConsoleVariables]","false","Runtime console or DeviceProfile if adopted","vsm_cache_lifetime_candidate_visual_review_required","Low/Medium: reduces how long unused local-light VSM pages stay cached. May reduce cache memory/maintenance but can increase misses if lights reappear.","Recovered from valid FPSChart logs after process-exit timeout. Visual review required before project config adoption."
"low_medium_risk_candidate","candidate_after_visual_review","Shadows / Virtual Shadow Map","r.Shadow.Virtual.Clipmap.UseConservativeCulling","0","2.16","Low/Medium: disables conservative non-Nanite VSM culling if enabled. Can reduce submissions but risks missing conservative shadow coverage in edge cases.","true","DefaultEngine.ini","[ConsoleVariables]","false","Runtime console or DeviceProfile if adopted","vsm_culling_candidate_visual_review_required","Low/Medium: disables conservative non-Nanite VSM culling if enabled. Can reduce submissions but risks missing conservative shadow coverage in edge cases.","Recovered from valid FPSChart logs after process-exit timeout. Visual review required before project config adoption."
"low_risk_default_candidate","candidate_for_default_after_quick_visual_spotcheck","D3D12 / Materials","D3D12.UseUpdateTexture3DComputeShader","1","4.48","Low: switches 3D texture updates to compute shader path. Expected visual output equivalent; performance depends on update workload and GPU scheduling.","true","DefaultEngine.ini","[ConsoleVariables]","false","Runtime console or DeviceProfile if adopted","d3d12_texture_update_compute_candidate_visual_review_required","Low: switches 3D texture updates to compute shader path. Expected visual output equivalent; performance depends on update workload and GPU scheduling.","Result generated by scripts/run_render_ab_tests.ps1. Visual review required before project config adoption."
"low_risk_default_candidate","candidate_for_default_after_quick_visual_spotcheck","Lumen / Scheduling","r.Lumen.AsyncCompute","1","1.03","Low: enables Lumen async compute scheduling where supported. Visual output should be equivalent, but async contention can hurt.","true","DefaultEngine.ini","[ConsoleVariables]","false","Runtime console or user setting if adopted","lumen_async_compute_candidate_visual_review_required","Low: enables Lumen async compute scheduling where supported. Visual output should be equivalent, but async contention can hurt.","Result generated by scripts/run_render_ab_tests.ps1. Visual review required before project config adoption."
"low_risk_default_candidate","candidate_for_default_after_quick_visual_spotcheck","Nanite","r.Nanite.FastVisBufferClear","1","2.20","Low: visual output should be equivalent.","true","DefaultEngine.ini","[ConsoleVariables]","false","Runtime console or DeviceProfile if adopted","nanite_fast_vis_buffer_clear_candidate_visual_review_required","Low: visual output should be equivalent.","Recovered from valid FPSChart logs after outer shell timeout. Visual review required before project config adoption."
"low_risk_default_candidate","candidate_for_default_after_quick_visual_spotcheck","Post Processing","r.SceneColorFringeQuality","0","4.81","Low: disables chromatic aberration; often improves clarity","true","DefaultScalability.ini","PostProcessQuality@0;PostProcessQuality@1;PostProcessQuality@2;PostProcessQuality@3;PostProcessQuality@Cine","true","DefaultScalability.ini","candidate_if_clearer_image_preferred","Low: disables chromatic aberration; often improves clarity","Likely good for clarity-focused presentation; still needs screenshot comparison."
"low_risk_default_candidate","candidate_for_default_after_quick_visual_spotcheck","Post Processing / Bloom","r.Bloom.AsyncCompute","1","0.99","Low: runs FFT bloom on async compute where active. Visual output should be equivalent, but async contention can hurt.","true","DefaultEngine.ini","[ConsoleVariables]","false","Runtime console or user setting if adopted","bloom_async_candidate_visual_review_required","Low: runs FFT bloom on async compute where active. Visual output should be equivalent, but async contention can hurt.","Result generated by scripts/run_render_ab_tests.ps1. Visual review required before project config adoption."
