"target_file","target_section","command","value","module","application_bucket","fps_delta_percent","quality_risk","apply_status","notes"
"Config/DefaultScalability.ini","AntiAliasingQuality@0;AntiAliasingQuality@1;AntiAliasingQuality@2;AntiAliasingQuality@3;AntiAliasingQuality@Cine","r.TSR.History.R11G11B10","1","Anti Aliasing / TSR","low_medium_risk_candidate","6.04","Low/Medium: possible subtle TSR precision/banding/stability differences","applied_after_manual_review_excluding_two_commands","Applied to Default after user manual review; r.AmbientOcclusionLevels and r.Lumen.TranslucencyVolume.Enable were excluded."
"Config/DefaultScalability.ini","AntiAliasingQuality@0;AntiAliasingQuality@1;AntiAliasingQuality@2;AntiAliasingQuality@3;AntiAliasingQuality@Cine","r.TSR.Resurrection","0","Anti Aliasing / TSR","low_medium_risk_candidate","8.15","Low/Medium: disables TSR resurrection of old discarded details. Can improve predictability and cost but may reduce static fine detail recovery.","applied_after_manual_review_excluding_two_commands","Applied to Default after user manual review; r.AmbientOcclusionLevels and r.Lumen.TranslucencyVolume.Enable were excluded."
"Config/DefaultEngine.ini","[ConsoleVariables]","foliage.MaxOcclusionQueriesPerComponent","8","Landscape / Foliage","low_medium_risk_candidate","1.91","Low/Medium: reduces foliage occlusion query granularity. Can reduce query overhead but may reduce culling precision.","applied_after_manual_review_excluding_two_commands","Applied to Default after user manual review; r.AmbientOcclusionLevels and r.Lumen.TranslucencyVolume.Enable were excluded."
"Config/DefaultScalability.ini","PostProcessQuality@0;PostProcessQuality@1;PostProcessQuality@2;PostProcessQuality@3;PostProcessQuality@Cine","r.LensFlareQuality","0","Post Processing","low_medium_risk_candidate","7.11","Low/Medium: removes lens flare styling","applied_after_manual_review_excluding_two_commands","Applied to Default after user manual review; r.AmbientOcclusionLevels and r.Lumen.TranslucencyVolume.Enable were excluded."
"Config/DefaultEngine.ini","[ConsoleVariables]","r.RayTracing.Geometry.InstancedStaticMeshes.Culling","1","Ray Tracing / Geometry","low_medium_risk_candidate","1.46","Low/Medium: ensures culling for instanced static meshes in ray tracing. If already enabled, should be neutral; if disabled, can improve RT traversal/build cost.","applied_after_manual_review_excluding_two_commands","Applied to Default after user manual review; r.AmbientOcclusionLevels and r.Lumen.TranslucencyVolume.Enable were excluded."
"Config/DefaultEngine.ini","[ConsoleVariables]","r.Shadow.Virtual.Cache.AllocateViaLRU","1","Shadows / Virtual Shadow Map","low_medium_risk_candidate","4.63","Low/Medium: changes VSM physical page allocation policy to prefer recently used cached pages. May improve cache behavior but can cause local instability if workload differs.","applied_after_manual_review_excluding_two_commands","Applied to Default after user manual review; r.AmbientOcclusionLevels and r.Lumen.TranslucencyVolume.Enable were excluded."
"Config/DefaultEngine.ini","[ConsoleVariables]","r.Shadow.Virtual.Cache.MaxLightAgeSinceLastRequest","5","Shadows / Virtual Shadow Map","low_medium_risk_candidate","2.49","Low/Medium: reduces how long unused local-light VSM pages stay cached. May reduce cache memory/maintenance but can increase misses if lights reappear.","applied_after_manual_review_excluding_two_commands","Applied to Default after user manual review; r.AmbientOcclusionLevels and r.Lumen.TranslucencyVolume.Enable were excluded."
"Config/DefaultEngine.ini","[ConsoleVariables]","r.Shadow.Virtual.Clipmap.UseConservativeCulling","0","Shadows / Virtual Shadow Map","low_medium_risk_candidate","2.16","Low/Medium: disables conservative non-Nanite VSM culling if enabled. Can reduce submissions but risks missing conservative shadow coverage in edge cases.","applied_after_manual_review_excluding_two_commands","Applied to Default after user manual review; r.AmbientOcclusionLevels and r.Lumen.TranslucencyVolume.Enable were excluded."
"Config/DefaultEngine.ini","[ConsoleVariables]","D3D12.UseUpdateTexture3DComputeShader","1","D3D12 / Materials","low_risk_default_candidate","4.48","Low: switches 3D texture updates to compute shader path. Expected visual output equivalent; performance depends on update workload and GPU scheduling.","applied_after_manual_review_excluding_two_commands","Applied to Default after user manual review; r.AmbientOcclusionLevels and r.Lumen.TranslucencyVolume.Enable were excluded."
"Config/DefaultEngine.ini","[ConsoleVariables]","r.Lumen.AsyncCompute","1","Lumen / Scheduling","low_risk_default_candidate","1.03","Low: enables Lumen async compute scheduling where supported. Visual output should be equivalent, but async contention can hurt.","applied_after_manual_review_excluding_two_commands","Applied to Default after user manual review; r.AmbientOcclusionLevels and r.Lumen.TranslucencyVolume.Enable were excluded."
