"module","command","value","fps_delta_percent","baseline_fps","test_fps","quality_risk","visual_review_required","config_target","in_scalability","adoption_status","recommendation","quality_impact","notes"
"Anti Aliasing / TSR","r.TSR.RejectionAntiAliasingQuality","1","10.40","122.55","135.30","Medium: lowers TSR rejection anti-aliasing quality. Can reduce reconstruction cost but may increase jagged rejected-history areas and shimmer.","true","DefaultScalability.ini AntiAliasingQuality lower tiers","true","tsr_quality_tradeoff_candidate_visual_review_required","candidate_after_strict_visual_review","Medium: lowers TSR rejection anti-aliasing quality. Can reduce reconstruction cost but may increase jagged rejected-history areas and shimmer.","Result generated by scripts/run_render_ab_tests.ps1. Visual review required before project config adoption."
"Anti Aliasing / TSR","r.TSR.Resurrection","0","8.15","109.99","118.95","Low/Medium: disables TSR resurrection of old discarded details. Can improve predictability and cost but may reduce static fine detail recovery.","true","DefaultScalability.ini AntiAliasingQuality lower tiers","true","tsr_quality_tradeoff_candidate_visual_review_required","candidate_after_visual_review","Low/Medium: disables TSR resurrection of old discarded details. Can improve predictability and cost but may reduce static fine detail recovery.","Result generated by scripts/run_render_ab_tests.ps1. Visual review required before project config adoption."
"Anti Aliasing / TSR","r.TemporalAA.Quality","1","7.33","124.76","133.91","Medium: lowers temporal AA quality. Can reduce anti-aliasing cost but may increase shimmer, ghosting, or edge instability.","true","DefaultScalability.ini AntiAliasingQuality lower tiers","true","aa_quality_tradeoff_candidate_visual_review_required","candidate_after_strict_visual_review","Medium: lowers temporal AA quality. Can reduce anti-aliasing cost but may increase shimmer, ghosting, or edge instability.","Result generated by scripts/run_render_ab_tests.ps1. Visual review required before project config adoption."
"Anti Aliasing / TSR","r.TSR.History.R11G11B10","1","6.04","104.42","110.73","Low/Medium: possible subtle TSR precision/banding/stability differences","true","DefaultScalability.ini AntiAliasingQuality","true","candidate_bandwidth_gain_review_required","candidate_after_visual_review","Low/Medium: possible subtle TSR precision/banding/stability differences","Promising bandwidth optimization. Needs motion/edge stability review."
"Anti Aliasing / TSR","r.TSR.History.UpdateQuality","1","5.87","106.79","113.06","Medium: lowers TSR history update shader quality. May reduce cost but can reduce reconstruction stability on motion/highlights.","true","DefaultScalability.ini AntiAliasingQuality lower tiers","true","tsr_quality_tradeoff_candidate_visual_review_required","candidate_after_strict_visual_review","Medium: lowers TSR history update shader quality. May reduce cost but can reduce reconstruction stability on motion/highlights.","Result generated by scripts/run_render_ab_tests.ps1. Visual review required before project config adoption."
"Anti Aliasing / TSR","r.TSR.ReprojectionField","0","5.46","126.30","133.19","Medium: disables TSR reprojection field. Can save cost but may reduce upscale vector/reprojection quality around disocclusion and thin geometry.","true","DefaultScalability.ini AntiAliasingQuality lower tiers","true","tsr_quality_tradeoff_candidate_visual_review_required","candidate_after_strict_visual_review","Medium: disables TSR reprojection field. Can save cost but may reduce upscale vector/reprojection quality around disocclusion and thin geometry.","Result generated by scripts/run_render_ab_tests.ps1. Visual review required before project config adoption."
"D3D12 / Materials","D3D12.UseUpdateTexture3DComputeShader","1","4.48","59.55","62.22","Low: switches 3D texture updates to compute shader path. Expected visual output equivalent; performance depends on update workload and GPU scheduling.","true","Runtime console or DeviceProfile if adopted","false","d3d12_texture_update_compute_candidate_visual_review_required","candidate_for_default_after_quick_visual_spotcheck","Low: switches 3D texture updates to compute shader path. Expected visual output equivalent; performance depends on update workload and GPU scheduling.","Result generated by scripts/run_render_ab_tests.ps1. Visual review required before project config adoption."
"GI / Ambient Occlusion","r.AmbientOcclusionMaxQuality","50","3.38","109.84","113.55","Medium: clamps screen-space ambient occlusion quality and can reduce crevice/contact darkening detail, especially if SSAO contributes alongside Lumen.","true","DefaultScalability.ini PostProcessQuality","true","quality_tradeoff_candidate_visual_review_required","candidate_after_strict_visual_review","Medium: clamps screen-space ambient occlusion quality and can reduce crevice/contact darkening detail, especially if SSAO contributes alongside Lumen.","Quality/performance tradeoff candidate from paired A/B; visual review required before project config adoption."
"GI / Ambient Occlusion","r.AmbientOcclusionLevels","0","1.76","132.20","134.53","Medium/High: disables or minimizes SSAO mip levels depending on current AO path. Can reduce AO cost but may flatten contact shading.","true","DefaultScalability.ini PostProcessQuality lower tiers","true","ao_quality_tradeoff_candidate_visual_review_required","quality_tradeoff_review_only","Medium/High: disables or minimizes SSAO mip levels depending on current AO path. Can reduce AO cost but may flatten contact shading.","Result generated by scripts/run_render_ab_tests.ps1. Visual review required before project config adoption."
"GI / Ambient Occlusion","r.AmbientOcclusionRadiusScale","0.5","1.13","129.21","130.67","Medium: reduces ambient occlusion radius scale. Can reduce AO cost/extent but may weaken broad contact shading.","true","DefaultScalability.ini PostProcessQuality lower tiers","true","ao_quality_tradeoff_candidate_visual_review_required","candidate_after_strict_visual_review","Medium: reduces ambient occlusion radius scale. Can reduce AO cost/extent but may weaken broad contact shading.","Result generated by scripts/run_render_ab_tests.ps1. Visual review required before project config adoption."
