"module","command","value","runtime_editable","scalability","setting_target","baseline_fps","test_fps","fps_delta_percent","quality_risk","adoption_status","priority","notes"
"Post Processing","r.MotionBlurQuality","0","true","true","DefaultScalability.ini or user quality setting","103.42","108.38","4.80","Medium: disables motion blur; improves clarity but removes cinematic blur","candidate_if_clarity_preferred","High","Measured with paired A/B same-process. Good candidate for low/medium quality tiers or a user option after visual review."
"Post Processing","r.DepthOfFieldQuality","1","true","true","DefaultScalability.ini lower tiers or user quality setting","114.56","119.49","4.30","Medium: simpler DOF; may affect cinematics and focus blur","candidate_visual_review_required","High","Good FPS gain, but GPU frametime did not drop in this window; inspect visual/cinematic scenes before global adoption."
"Post Processing","r.LensFlareQuality","0","true","true","DefaultScalability.ini","123.12","131.87","7.11","Low/Medium: removes lens flare styling","candidate_visual_review_required","High","Strong paired FPS gain. Usually acceptable if project does not rely on lens-flare look."
"Post Processing","r.SceneColorFringeQuality","0","true","true","DefaultScalability.ini","104.63","109.66","4.81","Low: disables chromatic aberration; often improves clarity","candidate_if_clearer_image_preferred","High","Likely good for clarity-focused presentation; still needs screenshot comparison."
"Post Processing","r.Tonemapper.Quality","2","true","true","DefaultScalability.ini","122.47","131.37","7.27","Medium: can change final color/film/grain/vignette behavior","candidate_visual_review_required","High","Strong paired FPS gain; compare final color grading before adoption."
"Anti Aliasing / TSR","r.TSR.History.R11G11B10","1","true","true","DefaultScalability.ini AntiAliasingQuality","104.42","110.73","6.04","Low/Medium: possible subtle TSR precision/banding/stability differences","candidate_bandwidth_gain_review_required","High","Promising bandwidth optimization. Needs motion/edge stability review."
"通用","r.ScreenPercentage","100","true","true","Do not adopt; control row only","149.29","131.02","-12.24","Control/no-op row; not a project setting candidate.","invalid_control_do_not_adopt_protocol_unstable","","Control/no-op row invalidated for adoption. Result generated by scripts/run_render_ab_tests.ps1. Visual review required before project config adoption."
"Landscape / Foliage","foliage.DensityScale","0.8","true","true","DefaultScalability.ini FoliageQuality lower tiers","103.61","109.71","5.89","High: visible vegetation density loss","lower_foliage_tier_only","Medium","Useful for lower tiers or performance mode, not a high-quality default without visual approval."
"Shadows","r.ContactShadows","0","true","true","DefaultScalability.ini ShadowQuality lower tiers","113.40","117.21","3.36","Medium/High: reduces small grounding/contact shadow detail","shadow_tradeoff_candidate","Medium","Candidate for lower ShadowQuality tiers; visually inspect character/object grounding."
"Post Processing","r.BloomQuality","2","true","true","DefaultScalability.ini","142.09","133.39","-6.12","Medium: lower bloom quality can reduce glow smoothness","do_not_adopt_for_now","Reject","Paired A/B measured a clear loss on this map/profile. Keep default/high value unless art direction wants reduced bloom for visual reasons."
"GI / Ambient Occlusion","r.AmbientOcclusionMaxQuality","50","true","true","DefaultScalability.ini PostProcessQuality","109.84","113.55","3.38","Medium: clamps screen-space ambient occlusion quality and can reduce crevice/contact darkening detail, especially if SSAO contributes alongside Lumen.","quality_tradeoff_candidate_visual_review_required","Medium","Quality/performance tradeoff candidate from paired A/B; visual review required before project config adoption."
"Reflections","r.SSR.Quality","1","true","true","DefaultScalability.ini ReflectionQuality","123.33","129.73","5.19","Medium/High: lowers screen-space reflection quality; may no-op or be less visible if Lumen reflections dominate, but reflective materials need review.","quality_tradeoff_candidate_visual_review_required","Medium","Quality/performance tradeoff candidate from paired A/B; visual review required before project config adoption."
"Shadows","r.Shadow.DistanceScale","0.8","true","true","DefaultScalability.ini ShadowQuality lower tiers","125.88","132.67","5.39","Medium: reduces dynamic shadow distance, improving cost when distant shadows are present but can visibly remove far shadows.","quality_tradeoff_candidate_visual_review_required","Medium","Quality/performance tradeoff candidate from paired A/B; visual review required before project config adoption."
"Shadows","r.Shadow.MaxResolution","2048","true","true","DefaultScalability.ini ShadowQuality lower tiers","119.28","120.85","1.32","Medium: caps shadow map resolution; can soften high-detail shadows and reduce aliasing stability depending on light setup.","possible_candidate_small_gain_visual_review_required","Medium","Quality/performance tradeoff candidate from paired A/B; visual review required before project config adoption."
"Lumen / Ray Tracing","r.Lumen.HardwareRayTracing.HitLighting.Allowed","0","true","true","DefaultScalability.ini GlobalIlluminationQuality lower tiers","110.31","115.63","4.82","High: disables Lumen hardware ray tracing hit lighting path where used; can reduce lighting/reflection accuracy and should be reviewed in reflective/interior scenes.","lumen_rt_quality_tradeoff_candidate_visual_review_required","Medium","Quality/performance tradeoff candidate from paired A/B; visual review required before project config adoption."
"Materials","r.MaterialQualityLevel","0","true","true","DefaultScalability.ini EffectsQuality lower tiers","124.89","134.91","8.02","High: switches materials using quality switches to low quality. Can improve shader cost only if project materials use quality branches, but may visibly remove expensive material features.","material_quality_tradeoff_candidate_visual_review_required","Medium","Result generated by scripts/run_render_ab_tests.ps1. Visual review required before project config adoption."
"Materials","r.DetailMode","1","true","true","DefaultScalability.ini EffectsQuality lower tiers","125.58","134.84","7.37","High: hides actors/components assigned to higher detail modes. Can boost performance if the map uses detail-mode gating, but can remove scene dressing.","detail_mode_tradeoff_candidate_visual_review_required","Medium","Result generated by scripts/run_render_ab_tests.ps1. Visual review required before project config adoption."
"Anti Aliasing / TSR","r.TemporalAA.Quality","1","true","true","DefaultScalability.ini AntiAliasingQuality lower tiers","124.76","133.91","7.33","Medium: lowers temporal AA quality. Can reduce anti-aliasing cost but may increase shimmer, ghosting, or edge instability.","aa_quality_tradeoff_candidate_visual_review_required","Medium","Result generated by scripts/run_render_ab_tests.ps1. Visual review required before project config adoption."
"Anti Aliasing / TSR","r.TSR.History.UpdateQuality","1","true","true","DefaultScalability.ini AntiAliasingQuality lower tiers","106.79","113.06","5.87","Medium: lowers TSR history update shader quality. May reduce cost but can reduce reconstruction stability on motion/highlights.","tsr_quality_tradeoff_candidate_visual_review_required","Medium","Result generated by scripts/run_render_ab_tests.ps1. Visual review required before project config adoption."
"Lumen / GI","r.Lumen.ScreenProbeGather.ShortRangeAO.DownsampleFactor","2","true","true","DefaultScalability.ini GlobalIlluminationQuality lower tiers","106.15","115.50","8.81","Medium: downsamples Lumen short-range AO. Can improve GI/AO cost but may soften contact occlusion and near-field grounding.","lumen_ao_tradeoff_candidate_visual_review_required","Medium","Result generated by scripts/run_render_ab_tests.ps1. Visual review required before project config adoption."
"Lumen / GI","r.LumenScene.SurfaceCache.AtlasSize","2048","true","true","DefaultScalability.ini GlobalIlluminationQuality lower tiers","124.39","137.03","10.16","High: reduces Lumen surface cache atlas size. Can save memory/GPU work but risks lower indirect lighting detail and cache quality.","lumen_surface_cache_tradeoff_candidate_visual_review_required","Medium","Result generated by scripts/run_render_ab_tests.ps1. Visual review required before project config adoption."
